29,1099
,
29,1106
,
29,1100
,
28.8,1134
,
28.8,1098
,
29,1103
,
29,1095
,
29,1099
,
29,1105
,
29,1137
,
29,1098
,
29,1107
,
29,1103
,
29.4,1053
,
30,1075
,
30,1057
,
29.4,1078
,
29.6,1076
,
29.2,1108
,
29.4,1075
,
29.6,1079
,
29.4,1112
,
29.6,1077
,
29.2,1076
,
29.4,1078
,
29.8,1079
,
29.2,1110
,
29.4,1084
,
30,1074
,
29.4,1077
,
29.4,1074
,
29.6,1104
,
29.4,1081
,
30.2,1035
,
30.4,1038
,
30.6,1038
,
31,1033
,
30.6,1039
,
30.4,1033
,
30.4,1038
,
30.2,1038
,
30.4,1038
,
30.2,1039
,
30.8,1035
,
30.8,1038
,
30.6,1038
,
30.6,1038
,
30.4,1039
,
30.2,1039
,
30.4,1033
,
30.6,1039
,
30.4,1035
,
31,1036
,
31.8,1042
,
31.4,1008
,
31.2,1012
,
31.6,1012
,
31.8,1015
,
31.6,1017
,
31.6,1040
,
31.2,1008
,
31.4,1011
,
28.8,1014
,
29.4,1012
,
31.4,1007
,
31.2,1015
,
31.2,1014
,
31.8,1016
,
31.4,1016
,
31.8,1032
,
31.4,1010
,
31.8,1013
,
31.4,1014
,
27.2,965
,
27.6,965
,
28.4,967
,
32.2,967
,
32,967
,
32,959
,
32.2,966
,
32,990
,
29.8,994
,
27.6,996
,
27,968
,
31.6,966
,
32,998
,
32.2,988
,
32,966
,
32,990
,
30.4,962
,
27.2,960
,
27.6,962
,
30.4,993
,
33.4,939
,
33.2,943
,
33.4,941
,
33.2,935
,
33.6,943
,
33.4,941
,
33.2,1032
,
33.4,944
,
33.4,941
,
33.2,934
,
33.4,943
,
33.4,939
,
33.4,944
,
33.2,944
,
33.4,945
,
33.4,936
,
33.4,944
,
33.4,944
,
33.4,944
,
33.2,944
,
27.4,926
,
34.4,927
,
34.8,921
,
35,995
,
35,935
,
34,897
,
30.2,892
,
33,897
,
31.2,898
,
34,892
,
34.2,925
,
34.4,898
,
34,898
,
34.4,897
,
31.2,896
,
27,895
,
27.2,916
,
29.4,898
,
28.4,897
,
34.2,898
,
35.6,873
,
36,867
,
35.8,867
,
35.2,869
,
35.2,872
,
35.6,865
,
35.6,860
,
35.4,870
,
35.8,873
,
35.8,860
,
35.4,872
,
35.4,873
,
35.4,903
,
35.6,870
,
36,872
,
36,872
,
35.8,942
,
35.4,870
,
36,874
,
34,864
,
37.2,910
,
37,842
,
37,845
,
37.2,841
,
37.2,848
,
30.4,846
,
27,846
,
28.4,839
,
37.2,846
,
37.2,856
,
37.4,849
,
33,839
,
27,842
,
27,848
,
29.8,846
,
37.4,844
,
37.6,841
,
37,847
,
37.2,845
,
36.4,842
,
29.4,823
,
37.6,823
,
38.2,822
,
38.4,823
,
34.4,822
,
27.4,824
,
27,822
,
27,817
,
29.6,824
,
37.2,819
,
38.2,818
,
38.2,819
,
38.6,817
,
38.6,821
,
37.4,833
,
38.6,818
,
37.6,825
,
38,826
,
38.4,825
,
37.8,824
,
27,825
,
38,821
,
39.6,794
,
38,821
,
29.2,825
,
27,825
,
30.6,820
,
37.4,824
,
39.6,801
,
39.4,816
,
39.4,822
,
39.2,802
,
27.2,799
,
27,820
,
27,851
,
27,823
,
27,824
,
30.8,820
,
39,823
,
33.4,795
,
40.8,780
,
40.2,782
,
38.4,803
,
35.4,803
,
30.4,780
,
31.8,780
,
39.8,806
,
40.2,807
,
40.6,780
,
38.8,803
,
35.6,825
,
27.4,807
,
32.4,792
,
31.6,801
,
40.8,798
,
41,771
,
40.4,778
,
37,800
,
27,829
,
27,802
,
41.4,779
,
34.6,853
,
32.4,777
,
36.6,805
,
33.4,778
,
28.8,780
,
27.2,780
,
27.2,780
,
27,779
,
27,778
,
28,778
,
32.8,780
,
28.8,804
,
31.8,773
,
27.8,776
,
28.8,779
,
29.8,772
,
38.2,770
,
37.8,791
,
34.2,780
,
27,780
,
32,783
,
30.4,754
,
27.8,755
,
28.6,755
,
42.4,750
,
42.4,754
,
43,757
,
43,756
,
43,757
,
43,754
,
42.6,755
,
33.6,750
,
31.2,749
,
32.4,752
,
37.6,748
,
38.8,746
,
33,756
,
29.2,754
,
28.2,786
,
44,753
,
44,784
,
44,752
,
44,754
,
44,756
,
44.2,757
,
41.6,758
,
34.2,755
,
37.2,754
,
42.2,755
,
37.4,752
,
37.6,738
,
41.8,780
,
43.6,754
,
43.8,750
,
44,754
,
44,752
,
44,754
,
44,758
,
44,759
,
30.6,757
,
35.6,718
,
35.8,729
,
31.2,730
,
30.2,724
,
27.6,726
,
27,759
,
27,731
,
33.4,732
,
44.2,746
,
44.8,730
,
45,731
,
44.8,729
,
33,757
,
38.2,758
,
43.4,730
,
44.2,725
,
43,729
,
29.6,749
,
27,731
,
45.4,732
,
45.4,727
,
45.8,726
,
46,732
,
45.4,731
,
45.6,729
,
45.6,721
,
39.8,725
,
34.6,724
,
41.6,722
,
40.8,730
,
35.2,748
,
31.8,755
,
29.6,729
,
27.2,729
,
27.2,728
,
30.2,757
,
43.8,729
,
45.6,731
,
45.2,733
,
46.6,736
,
46.2,702
,
29.2,705
,
27,704
,
27,700
,
27.2,706
,
28,708
,
37.2,705
,
37.4,732
,
28.2,702
,
27,732
,
27,707
,
27.2,707
,
28.6,707
,
46.6,700
,
46.8,706
,
46.6,692
,
44.4,712
,
30,705
,
27.6,704
,
27.4,763
,
27,706
,
27,705
,
27,703
,
36.8,711
,
47.6,706
,
47.4,704
,
42.6,705
,
40.8,703
,
47.8,706
,
47.6,707
,
47.6,696
,
47.6,704
,
47.6,699
,
41.8,699
,
27,733
,
27,696
,
27.2,705
,
33.6,701
,
40,706
,
35.4,671
,
43.2,682
,
48.6,682
,
48.4,682
,
48.2,683
,
48.2,683
,
43.8,679
,
33,681
,
36.2,678
,
48.8,672
,
48.8,681
,
37,677
,
39.4,680
,
36.8,692
,
37.2,682
,
36.4,677
,
37,685
,
37,682
,
48,684
,
48.6,682
,
49.4,682
,
48.4,682
,
38.2,679
,
33,681
,
30.8,682
,
40.6,678
,
45,676
,
49.8,680
,
49.2,683
,
43.2,682
,
27.2,683
,
27,683
,
27,681
,
27,682
,
44,684
,
49.8,683
,
49.8,707
,
49.4,680
,
48,679
,
33.6,682
,
50.6,661
,
50.2,659
,
50.8,647
,
51,682
,
50.6,658
,
44.2,655
,
44.4,660
,
50.6,661
,
50.6,663
,
51,661
,
51,654
,
51,660
,
51,654
,
51,659
,
50.8,662
,
51,660
,
50.6,657
,
51,657
,
51,658
,
50.8,660
,
50.4,659
,
51.4,660
,
51.6,660
,
51.6,654
,
51.8,680
,
51.4,659
,
51.4,661
,
51.2,657
,
41.4,658
,
37,660
,
27.2,660
,
27,657
,
27,658
,
27,684
,
27,660
,
29.6,655
,
41.6,653
,
33.2,660
,
45.2,661
,
50.6,660
,
35,660
,
29.8,661
,
33.8,660
,
28.4,660
,
27,661
,
27,659
,
27,657
,
38.2,685
,
44.4,660
,
51.6,636
,
51.8,661
,
53,645
,
53,658
,
53,661
,
53,660
,
53,659
,
53,660
,
52.8,659
,
52.4,686
,
39.2,657
,
27,636
,
27,637
,
43,637
,
53.8,631
,
53.8,635
,
54,631
,
53.8,634
,
50.4,630
,
45,632
,
51,638
,
53.4,630
,
53.6,635
,
53.4,629
,
37.6,638
,
27,625
,
27,632
,
27,667
,
27,636
,
28.4,635
,
52.2,636
,
54.4,633
,
52.8,636
,
27,633
,
27,660
,
27,637
,
27,634
,
27,630
,
29,635
,
45.4,633
,
54.6,638
,
41.6,637
,
27.2,637
,
27,636
,
27,637
,
27.2,637
,
38.6,634
,
48.8,637
,
33.8,635
,
27,637
,
27,636
,
55.6,636
,
51.4,636
,
44.8,635
,
33,640
,
27,636
,
27,635
,
34.8,634
,
46.2,611
,
45.2,634
,
42.4,635
,
42.8,622
,
55.4,634
,
55.4,636
,
55.8,636
,
55.4,634
,
48,633
,
36.8,633
,
27.8,661
,
30.2,636
,
33,633
,
33.2,640
,
32.2,608
,
44.4,636
,
56,607
,
56.6,613
,
56.6,613
,
48.2,613
,
37.8,612
,
27.2,611
,
27,611
,
27,607
,
33.2,610
,
52,611
,
56.8,640
,
41.6,641
,
28.6,608
,
27,636
,
27,611
,
27,610
,
39.2,611
,
37,605
,
42,612
,
35.6,611
,
39.8,605
,
43.2,611
,
44.6,612
,
55.2,609
,
57.8,626
,
57.4,611
,
50.2,609
,
36,610
,
27.2,607
,
27,636
,
27,611
,
27.6,610
,
28.4,612
,
27,611
,
27,610
,
27,605
,
27,612
,
58.4,586
,
58.6,611
,
55,615
,
36.4,602
,
